utc_time,az_cmd_deg,el_cmd_deg,az_astropy_deg,el_astropy_deg,az_diff_deg,el_diff_deg,separation_deg
2026-08-17T01:18:30.499039,238.82034941918053,-33.66478514826122,238.64350127433755,-33.504015637260544,0.17684814484297817,-0.16076951100067305,0.21806445370410182
2026-08-17T01:18:45.499039,237.84119978371226,-33.67739119728931,237.66604841820026,-33.519400572111785,0.17515136551199362,-0.1579906251775256,0.2150462628434087
2026-08-17T01:19:00.499039,236.86235976598894,-33.686934792371055,236.6888617638953,-33.53176396675204,0.17349800209365185,-0.15517082561901674,0.21202974255257742
2026-08-17T01:19:15.499039,235.88514860147174,-33.71719422571612,235.71336028609247,-33.5648796343367,0.17178831537927408,-0.15231459137942238,0.20893504595736848
2026-08-17T01:19:30.499039,234.90774279555168,-33.74303511876314,234.73761675298593,-33.59361742482648,0.17012604256575514,-0.14941769393665538,0.20584733221233437
2026-08-17T01:19:45.499039,233.9302230202965,-33.764503533426335,233.76171052616564,-33.61802236538216,0.16851249413085156,-0.14648116804417555,0.202768943653676
2026-08-17T01:20:00.499039,232.9527851817576,-33.78255494979173,232.78584019292234,-33.639048530819025,0.16694498883526876,-0.14350641897270577,0.1996992843951189
2026-08-17T01:20:15.499039,231.97844724175664,-33.82234932153731,231.81313320133526,-33.68184583724383,0.16531404042137865,-0.14050348429348247,0.19655475319889315
2026-08-17T01:20:30.499039,231.00359488088466,-33.857171336901494,230.8398605656819,-33.71970899414819,0.16373431520275972,-0.13746234275330238,0.19342538112265087
2026-08-17T01:20:45.499039,230.02832162033306,-33.887047834543665,229.86611432503258,-33.75266375547815,0.16220729530047606,-0.1343840790655122,0.19031405655007694
2026-08-17T01:21:00.499039,229.05289757331698,-33.912992872451014,228.8921676180758,-33.78172250431407,0.16072995524118028,-0.1312703681369456,0.18722047653664176
2026-08-17T01:21:15.499039,228.08201798306018,-33.962242732256286,227.92283904635738,-33.83410550372106,0.15917893670280137,-0.12813722853522336,0.18405351312096618
2026-08-17T01:21:30.499039,227.11029112514925,-34.0057398388432,226.95260677042995,-33.88077149149106,0.15768435471929365,-0.12496834735213724,0.18091225752981072
2026-08-17T01:21:45.499039,226.13783098256314,-34.04349088666632,225.98158307109475,-33.92172599878165,0.15624791146839812,-0.121764887884666,0.17780032848525684
2026-08-17T01:22:00.499039,225.16498652418844,-34.07660132885934,225.01012045437128,-33.95807250006272,0.15486606981716022,-0.11852882879662019,0.17471770107845053
2026-08-17T01:22:15.499039,224.19803503080962,-34.13529422882608,224.0446391456103,-34.02001198315399,0.15339588519933045,-0.11528224567209122,0.17156003806194892
2026-08-17T01:22:30.499039,223.22989410966917,-34.187165905315915,223.07790490852136,-34.0751635277315,0.15198920114781345,-0.11200237758441745,0.1684417968859308
2026-08-17T01:22:45.499039,222.26070929285865,-34.232202068606625,222.1100613037052,-34.123511558112874,0.15064798915344113,-0.10869051049375145,0.16536757482403594
2026-08-17T01:23:00.499039,221.29091584604478,-34.27164213840108,221.14154788192917,-34.16629316853371,0.14936796411561204,-0.10534896986736442,0.16233759019774166
2026-08-17T01:23:15.499039,220.32825417121867,-34.33986186051216,220.18027508846382,-34.23785609714933,0.14797908275485838,-0.10200576336282552,0.1592263586731865
2026-08-17T01:23:30.499039,219.36405969187015,-34.39981644792424,219.2173964638067,-34.30118472253582,0.14666322806345988,-0.09863172538841525,0.15617255758610174
2026-08-17T01:23:45.499039,218.3985262544409,-34.45146997723178,218.2531035642399,-34.35624164380136,0.14542269020100207,-0.09522833343041981,0.15318208825160703
2026-08-17T01:24:00.499039,217.43218748413372,-34.49625345234891,217.2879353869811,-34.40445513253097,0.14425209715261644,-0.09179831981793996,0.15025532435649738
2026-08-17T01:24:15.499039,216.47409172144367,-34.57425247084548,216.33114755579265,-34.485877225261795,0.14294416565101642,-0.08837524558368415,0.14723434700603946
2026-08-17T01:24:30.499039,215.51413434485917,-34.64203922143401,215.3724122317751,-34.557115387419145,0.14172211308408578,-0.08492383401486592,0.14429468490289454
2026-08-17T01:24:45.499039,214.55258393037278,-34.69955600890775,214.41199533495796,-34.618110145072876,0.14058859541481183,-0.08144586383487251,0.14144394402712113
2026-08-17T01:25:00.499039,213.59008712154642,-34.748504847913544,213.45055046039883,-34.670560303679444,0.1395366611475879,-0.07794454423410002,0.13868242576044748
2026-08-17T01:25:15.499039,212.63663795377047,-34.83679366424814,212.49833011995213,-34.7623359571962,0.13830783381834522,-0.07445770705194121,0.1358032972557133
2026-08-17T01:25:30.499039,211.68104418070376,-34.91222760061848,211.54386183512312,-34.84128242546588,0.13718234558064069,-0.07094517515260179,0.13303742638967078
2026-08-17T01:25:45.499039,210.72369268306878,-34.97472846352805,210.5875294268319,-34.90731925392078,0.13616325623686976,-0.06740920960726982,0.13039455298868402
2026-08-17T01:26:00.499039,209.76536900316424,-35.02638288029418,209.63012769280166,-34.96252927121558,0.13524131036257359,-0.06385360907859905,0.1278743830176855
2026-08-17T01:26:15.499039,208.81647123865795,-35.12588354129099,208.68238386989484,-35.06556519275121,0.13408736876311877,-0.060318348539780686,0.12519755690123974
2026-08-17T01:26:30.499039,207.8652531991958,-35.208900333466005,207.73219245742834,-35.15213990762398,0.13306074176745142,-0.05676042584202179,0.1226768289495119
2026-08-17T01:26:45.499039,206.91229538262584,-35.27533964853795,206.78013048155668,-35.222156753354014,0.13216490106916012,-0.05318289518393726,0.12032436435191887
2026-08-17T01:27:00.499039,205.95856200047436,-35.32783985476725,205.8271748101929,-35.278249543174766,0.1313871902814583,-0.04959031159248184,0.11813809074319584
2026-08-17T01:27:15.499039,205.0137957825696,-35.44011602445428,204.88349574161572,-35.394095541380885,0.1303000409538697,-0.04602048307339146,0.11573206193188691
2026-08-17T01:27:30.499039,204.06676163122196,-35.530848023702006,203.93738804265897,-35.48841612167614,0.12937358856299852,-0.042431902025867885,0.11353928022098436
2026-08-17T01:27:45.499039,203.11837041576635,-35.5999421696691,202.9897587773833,-35.56111319526382,0.1286116383830631,-0.038828974405276995,0.11157408013306072
2026-08-17T01:28:00.499039,202.16983327299093,-35.650839601175576,202.0418368304308,-35.61562231379379,0.12799644256011788,-0.035217287381783535,0.10983012595661751
2026-08-17T01:28:15.499039,201.22823384284058,-35.77837736934027,201.1012714741073,-35.74675310372588,0.12696236873327393,-0.03162426561438991,0.10776756504880507
2026-08-17T01:28:30.499039,200.28488051777757,-35.877221239369355,200.15874449698853,-35.84920300903154,0.1261360207890334,-0.028018230337814032,0.10599311290853158
2026-08-17T01:28:45.499039,199.34127375657945,-35.94732074891251,199.2157525407617,-35.922914762989926,0.12552121581774145,-0.02440598592258425,0.1045216279157992
2026-08-17T01:29:00.499039,198.39899989592598,-35.99330183230543,198.27390744598307,-35.972507129418005,0.1250924499429118,-0.02079470288742158,0.10333772876153127
2026-08-17T01:29:15.499039,197.45871151593613,-36.139775537284265,197.3346208847784,-36.12258961729063,0.12409063115774188,-0.01718591999363639,0.10168696196809816
2026-08-17T01:29:30.499039,196.51805598937275,-36.24745978574995,196.39469334010053,-36.23388642122557,0.12336264927222373,-0.01357336452438318,0.10041857875372613
2026-08-17T01:29:45.499039,195.5796239361197,-36.316466191883016,195.45671258793922,-36.306497957029535,0.12291134818048022,-0.009968234853481306,0.09954350509299852
2026-08-17T01:30:00.499039,194.64564273143677,-36.3531613566368,194.52294324115917,-36.34678113785778,0.12269949027759708,-0.006380218779014513,0.09902933610729275
2026-08-17T01:30:15.499039,193.70364789729186,-36.52289154991212,193.58194195406523,-36.5201334422268,0.12170594322662964,-0.002758107685316702,0.09784584377757005
2026-08-17T01:30:30.499039,192.76402580148223,-36.6402215234962,192.64295095100925,-36.64107462342875,0.12107485047297928,0.0008530999325486732,0.0971535073188902
2026-08-17T01:30:45.499039,191.8313623648053,-36.705727196225986,191.7105568862198,-36.710161453482016,0.12080547858550972,0.004434257256029639,0.09695033146484004
2026-08-17T01:31:00.499039,190.90913594121125,-36.728184028470494,190.78829234423324,-36.73615480970117,0.12084359697800551,0.007970781230675072,0.09717633153498821
2026-08-17T01:31:15.499039,189.963368481601,-36.92251291741598,189.84351381310532,-36.93411306895399,0.11985466849569093,0.011600151538011971,0.0965100442723696
2026-08-17T01:31:30.499039,189.02326232866957,-37.04919455988169,188.90393533592874,-37.06439637714232,0.11932699274083802,0.015201817260631856,0.09643328531256151
2026-08-17T01:31:45.499039,188.09651739760315,-37.10980126811999,187.9772659457025,-37.12854567266113,0.11925145190065223,0.018744404541145343,0.09691884460974669
2026-08-17T01:32:00.499039,187.1891415540708,-37.115793263946024,187.06958817623095,-37.1379968255007,0.11955337783984987,0.022203561554675844,0.09787184105407351
2026-08-17T01:32:15.499039,186.24957521967903,-37.32474238628809,186.13094070089306,-37.3505286228528,0.1186345187859672,0.025786236564712794,0.09778459313209023
2026-08-17T01:32:30.499039,185.31233365924166,-37.45751355427621,185.1940994003783,-37.48686469309856,0.11823425886336736,0.0293511388223493,0.09831973731565329
2026-08-17T01:32:45.499039,184.38769555534324,-37.516274049609954,184.2693587317638,-37.549131003154606,0.11833682357945463,0.0328569535446519,0.0994276497420392
2026-08-17T01:33:00.499039,183.48545465180618,-37.513548282901006,183.36659826718628,-37.54981302631253,0.11885638461990311,0.03626474341152175,0.10099084710969426
2026-08-17T01:33:15.499039,182.58272562644143,-37.719674087507904,182.46462095121072,-37.75934078268739,0.11810467523071111,0.03966669517948418,0.10147174112245148
2026-08-17T01:33:30.499039,181.65992251618272,-37.85515671693348,181.54207362605118,-37.89829314206663,0.11784889013154043,0.04313642513314875,0.10253710038072966
2026-08-17T01:33:45.499039,180.7266305735732,-37.91903610665755,180.6085371780233,-37.96567116762937,0.11809339554989151,0.046635060971816245,0.10415560492128838
2026-08-17T01:34:00.499039,179.7957430564413,-37.92019861106334,179.67696966629737,-37.97030988985852,0.11877339014392874,0.05011127879517829,0.1062270339076649
2026-08-17T01:34:15.499039,178.93329961175297,-38.12001484778747,178.81509906050226,-38.17332437716369,0.11820055125070894,0.05330952937621447,0.10715807875905783
2026-08-17T01:34:30.499039,178.02628278731723,-38.25712246770724,177.90818862730856,-38.31378999639212,0.1180941600086669,0.056667528684876345,0.1086451530449623
2026-08-17T01:34:45.499039,177.08282696580753,-38.32693034873261,176.96434380469228,-38.387081634066085,0.11848316111525037,0.06015128533347536,0.11068144276033252
2026-08-17T01:35:00.499039,176.11690221652825,-38.33393647863989,175.99757240771717,-38.397641184387886,0.11932980881107369,0.0637047057479947,0.11319088690923593
2026-08-17T01:35:15.499039,175.25847038404137,-38.52405405701158,175.13948945823893,-38.59088463146514,0.11898092580244679,0.06683057445355445,0.11455552690271077
2026-08-17T01:35:30.499039,174.35585203297458,-38.658449073763954,174.236789609011,-38.72855827757559,0.1190624239635838,0.07010920381163288,0.11640867299019657
2026-08-17T01:35:45.499039,173.41538070082694,-38.733376122554034,173.29578375756495,-38.80688971152404,0.1195969432619961,0.07351358897000893,0.1187390604896202
2026-08-17T01:36:00.499039,172.4483587842506,-38.75268527364184,172.32780806909008,-38.8296835324348,0.12055071516050475,0.07699825879296185,0.12148031019938176
2026-08-17T01:36:15.499039,171.57618170910322,-38.92693589596074,171.45569470635252,-39.00704316372061,0.120487002750707,0.08010726775987109,0.12326007927921816
2026-08-17T01:36:30.499039,170.6723581308366,-39.05571693786797,170.5515744497787,-39.139032592396475,0.12078368105790105,0.08331565452850498,0.12541196523004602
2026-08-17T01:36:45.499039,169.74099008486544,-39.137096296076066,169.61953927419503,-39.22370186653653,0.12145081067041019,0.08660557046046335,0.12792025098249224
2026-08-17T01:37:00.499039,168.78951385333752,-39.17493813758426,168.66705786642237,-39.26488524318305,0.12245598691515625,0.08994710559878882,0.13073152978929087
2026-08-17T01:37:15.499039,167.9049815989259,-39.3333773317039,167.78229850156333,-39.42639791621574,0.1226830973625681,0.09302058451184081,0.13283561193467916
2026-08-17T01:37:30.499039,166.99970868948603,-39.456765535468705,166.87651196736584,-39.55291325681144,0.12319672212018418,0.09614772134273863,0.13520291986948935
2026-08-17T01:37:45.499039,166.0761761743988,-39.54420567224458,165.95217621532194,-39.64352307765842,0.1239999590768548,0.09931740541384215,0.13781922029413274
2026-08-17T01:38:00.499039,165.13902838464938,-39.59911149007171,165.0139633370064,-39.701622430435734,0.12506504764297688,0.10251094036402719,0.1406451169908068
2026-08-17T01:38:15.499039,164.24675315311057,-39.74489616712548,164.12119048698065,-39.85041525802232,0.12556266612992317,0.1055190908968413,0.1429717658997164
2026-08-17T01:38:30.499039,163.34078464302482,-39.86397724769283,163.21449720246707,-39.97252809982375,0.12628744055774632,0.10855085213091797,0.14548077162732687
2026-08-17T01:38:45.499039,162.4226481387415,-39.955929568322254,162.29540867953108,-40.067528692981874,0.1272394592104149,0.11159912465961952,0.14816106506406626
2026-08-17T01:39:00.499039,161.49531804094917,-40.023561063907174,161.36692179677829,-40.138212965245145,0.12839624417088658,0.11465190133797165,0.15098432289857805
2026-08-17T01:39:15.499039,160.59859461672343,-40.15979596590273,160.4694512113821,-40.27736695221663,0.12914340534132407,0.1175709863139005,0.1534512520774807
2026-08-17T01:39:30.499039,159.69244854245332,-40.275459337804186,159.5623743211074,-40.39595402470529,0.13007422134592161,0.12049468690110388,0.15604449690951508
2026-08-17T01:39:45.499039,158.77786168759397,-40.37033595976905,158.64667411565182,-40.4937541673239,0.13118757194214936,0.12341820755484889,0.15875584640436252
2026-08-17T01:40:00.499039,157.85683517997867,-40.446684523661325,157.72436970783352,-40.573018011049086,0.13246547214515658,0.12633348738776107,0.16156482118949456
