utc_time,ra_deg,dec_deg,az_cmd_deg,el_cmd_deg,az_rate_dps,el_rate_dps
2026-08-17T01:18:30.499039,139.15030217313887,-40.40248325119954,-121.17965058081947,-33.66478514826122,0.0,0.0
2026-08-17T01:18:45.499039,139.4198855064722,-41.20226797342176,-122.15880021628774,-33.67739119728931,0.0,0.0
2026-08-17T01:19:00.499039,139.68832659498332,-42.00217606917454,-123.13764023401106,-33.686934792371055,-0.06521949206183374,-0.0012916515704729293
2026-08-17T01:19:15.499039,139.92357659498333,-42.8056691247301,-124.11485139852826,-33.71719422571612,-0.06517695624599848,-0.0014512852158385197
2026-08-17T01:19:30.499039,140.15882659498334,-43.60916218028565,-125.09225720444832,-33.74303511876314,-0.06513962115246603,-0.0016032182386689798
2026-08-17T01:19:45.499039,140.39407659498332,-44.41265523584121,-126.0697769797035,-33.764503533426335,-0.06510731802815997,-0.0017471386437862908
2026-08-17T01:20:00.499039,140.62803221257707,-45.21620512639398,-127.0472148182424,-33.78255494979173,-0.06507885160559965,-0.0018838173339996564
2026-08-17T01:20:15.499039,140.8243759625771,-46.02140651528288,-128.02155275824336,-33.82234932153731,-0.06502608848676251,-0.002042070887834709
2026-08-17T01:20:30.499039,141.0207197125771,-46.82660790417176,-128.99640511911534,-33.857171336901494,-0.06497876392002032,-0.002189206000667158
2026-08-17T01:20:45.499039,141.2170634625771,-47.63180929306065,-129.97167837966694,-33.887047834543665,-0.06493660031444506,-0.0023248946103331986
2026-08-17T01:21:00.499039,141.41190489725417,-48.43700005426713,-130.94710242668302,-33.912992872451014,-0.06489832214640974,-0.002450386492230076
2026-08-17T01:21:15.499039,141.5630923972542,-49.24188199871158,-131.91798201693982,-33.962242732256286,-0.0648367684245585,-0.0026078742274064483
2026-08-17T01:21:30.499039,141.7142798972542,-50.04676394315602,-132.88970887485075,-34.0057398388432,-0.06478083976012859,-0.002749954736786838
2026-08-17T01:21:45.499039,141.86546739725418,-50.85164588760046,-133.86216901743686,-34.04349088666632,-0.06473010272895342,-0.0028762852838580006
2026-08-17T01:22:00.499039,142.01486390173196,-51.656448586500005,-134.83501347581156,-34.07660132885934,-0.06468318106060167,-0.002988743882917196
2026-08-17T01:22:15.499039,142.11221806839865,-52.4589485865,-135.80196496919038,-34.13529422882608,-0.06461469843201258,-0.0031468260687989393
2026-08-17T01:22:30.499039,142.20957223506528,-53.2614485865,-136.77010589033083,-34.187165905315915,-0.06455192861065957,-0.003283971742341999
2026-08-17T01:22:45.499039,142.30692640173194,-54.063948586500004,-137.73929070714135,-34.232202068606625,-0.06449420606768494,-0.0033998257547121825
2026-08-17T01:23:00.499039,142.40208375713402,-54.86629610236111,-138.70908415395522,-34.27164213840108,-0.06443999200045596,-0.0034971010290797484
2026-08-17T01:23:15.499039,142.4334066738007,-55.664212769027785,-139.67174582878133,-34.33986186051216,-0.06436619424471625,-0.0036579853501616335
2026-08-17T01:23:30.499039,142.46472959046736,-56.46212943569444,-140.63594030812985,-34.39981644792424,-0.06429799804008335,-0.0037906109676508017
2026-08-17T01:23:45.499039,142.496052507134,-57.26004610236111,-141.6014737455591,-34.45146997723178,-0.0642343780207156,-0.003894616169176028
2026-08-17T01:24:00.499039,142.5245967469243,-58.05772664964907,-142.56781251586628,-34.49625345234891,-0.06417357270415304,-0.003973855912603893
2026-08-17T01:24:15.499039,142.47239883025765,-58.84854609409352,-143.52590827855633,-34.57425247084548,-0.06409680181206832,-0.004141098364466522
2026-08-17T01:24:30.499039,142.42020091359097,-59.63936553853796,-144.48586565514083,-34.64203922143401,-0.06402512925971943,-0.004270092939118678
2026-08-17T01:24:45.499039,142.3680029969243,-60.43018498298241,-145.44741606962722,-34.69955600890775,-0.06395694642810099,-0.004360487385802259
2026-08-17T01:25:00.499039,142.3121738784229,-61.22066850024815,-146.40991287845358,-34.748504847913544,-0.06389015400807901,-0.0044177452328772425
2026-08-17T01:25:15.499039,142.15083012842294,-62.001390722470376,-147.36336204622953,-34.83679366424814,-0.06381350402321478,-0.004596925587045912
2026-08-17T01:25:30.499039,141.98948637842292,-62.78211294469259,-148.31895581929624,-34.91222760061848,-0.06374067621386151,-0.004723842600266615
2026-08-17T01:25:45.499039,141.8281426284229,-63.56283516691481,-149.27630731693122,-34.97472846352805,-0.06366907123122398,-0.0047981969969183545
2026-08-17T01:26:00.499039,141.66188369082778,-64.34308954007453,-150.23463099683576,-35.02638288029418,-0.0635960426756005,-0.004827791723780865
2026-08-17T01:26:15.499039,141.35280035749446,-65.10974926229677,-151.18352876134205,-35.12588354129099,-0.06352368476000692,-0.005027686335051129
2026-08-17T01:26:30.499039,141.0437170241611,-65.87640898451899,-152.1347468008042,-35.208900333466005,-0.063452354579015,-0.005155170192362727
2026-08-17T01:26:45.499039,140.73463369082776,-66.64306870674122,-153.08770461737416,-35.27533964853795,-0.06337768556085356,-0.005210114217842054
2026-08-17T01:27:00.499039,140.41864247944793,-67.40907228509307,-154.04143799952564,-35.32783985476725,-0.06329613108477758,-0.00520380600734498
2026-08-17T01:27:15.499039,139.90192372944793,-68.15600978509306,-154.9862042174304,-35.44011602445428,-0.06323531163181144,-0.0054374485670773375
2026-08-17T01:27:30.499039,139.3852049794479,-68.90294728509306,-155.93323836877804,-35.530848023702006,-0.06316977234515188,-0.005569340882527918
2026-08-17T01:27:45.499039,138.8684862294479,-69.64988478509305,-156.88162958423365,-35.5999421696691,-0.06309184688372037,-0.005599842503121326
2026-08-17T01:28:00.499039,138.3416771881118,-70.39587364891989,-157.83016672700907,-35.650839601175576,-0.06299635087123648,-0.005545516479484825
2026-08-17T01:28:15.499039,137.52166677144515,-71.11429726003101,-158.77176615715942,-35.77837736934027,-0.0629590355552788,-0.005830495940249906
2026-08-17T01:28:30.499039,136.7016563547785,-71.83272087114213,-159.71511948222243,-35.877221239369355,-0.06290588034874342,-0.005971764683732891
2026-08-17T01:28:45.499039,135.88164593811183,-72.55114448225324,-160.65872624342055,-35.94732074891251,-0.06282288733038872,-0.005971033518449313
2026-08-17T01:29:00.499039,135.04636319527083,-73.26812781136158,-161.60100010407402,-35.99330183230543,-0.06270158784628468,-0.005852681295510169
2026-08-17T01:29:15.499039,133.76730069527088,-73.94325975580603,-162.54128848406387,-36.139775537284265,-0.06270488287957268,-0.006204284838098732
2026-08-17T01:29:30.499039,132.48823819527084,-74.61839170025047,-163.48194401062725,-36.24745978574995,-0.0626737893024611,-0.006358335701057053
2026-08-17T01:29:45.499039,131.20917569527083,-75.29352364469491,-164.4203760638803,-36.316466191883016,-0.06258259493145128,-0.006320053727612299
2026-08-17T01:30:00.499039,129.90657726843332,-75.96634014059399,-165.35435726856323,-36.3531613566368,-0.06241553295595566,-0.006124018301375559
2026-08-17T01:30:15.499039,127.92007726843335,-76.5718748628162,-166.29635210270814,-36.52289154991212,-0.062461191952793156,-0.006522811501097614
2026-08-17T01:30:30.499039,125.93357726843334,-77.17740958503842,-167.23597419851777,-36.6402215234962,-0.062456613839193174,-0.006681123117764484
2026-08-17T01:30:45.499039,123.94707726843333,-77.78294430726064,-168.1686376351947,-36.705727196225986,-0.06235922115430507,-0.006611125635308094
2026-08-17T01:31:00.499039,121.92577172406736,-78.38458744942915,-169.09086405878875,-36.728184028470494,-0.062137509811382566,-0.0063552658942435634
2026-08-17T01:31:15.499039,118.89309464073405,-78.87314994942916,-170.036631518399,-36.92251291741598,-0.062117272313440705,-0.006682090303133078
2026-08-17T01:31:30.499039,115.8604175574007,-79.36171244942916,-170.97673767133043,-37.04919455988169,-0.06209743451867145,-0.006810766923166748
2026-08-17T01:31:45.499039,112.82774047406735,-79.85027494942915,-171.90348260239685,-37.10980126811999,-0.062030556745517156,-0.00675455711153307
2026-08-17T01:32:00.499039,109.75352393886182,-80.332435194925,-172.8108584459292,-37.115793263946024,-0.061864010745042226,-0.006544702120254264
2026-08-17T01:32:15.499039,105.47226352219516,-80.628560194925,-173.75042478032097,-37.32474238628809,-0.061505357126329825,-0.006643009750766046
2026-08-17T01:32:30.499039,101.19100310552847,-80.92468519492499,-174.68766634075834,-37.45751355427621,-0.06136116510405666,-0.006716351308764897
2026-08-17T01:32:45.499039,96.9097426888618,-81.220810194925,-175.61230444465676,-37.516274049609954,-0.06141572353358242,-0.006743623654479692
2026-08-17T01:33:00.499039,92.60513521775694,-81.50800840377592,-176.51454534819382,-37.513548282901006,-0.06161165414691254,-0.00670337789264431
2026-08-17T01:33:15.499039,87.62211438442361,-81.53581395933148,-177.41727437355857,-37.719674087507904,-0.060968963399383826,-0.0066272705124948905
2026-08-17T01:33:30.499039,82.63909355109027,-81.56361951488702,-178.34007748381728,-37.85515671693348,-0.06071709059937073,-0.006663407611925246
2026-08-17T01:33:45.499039,77.65607271775693,-81.59142507044258,-179.2733694264268,-37.91903610665755,-0.06087390491279763,-0.006755469159355461
2026-08-17T01:34:00.499039,72.69138290380208,-81.61020448912222,-180.2042569435587,-37.92019861106334,-0.06140460362731612,-0.006836568297824049
2026-08-17T01:34:15.499039,68.25935165380209,-81.36670448912223,-181.06670038824703,-38.12001484778747,-0.061035460353333806,-0.006703166412530651
2026-08-17T01:34:30.499039,63.82732040380208,-81.12320448912223,-181.97371721268277,-38.25712246770724,-0.06086725402673494,-0.006694102973587294
2026-08-17T01:34:45.499039,59.39528915380208,-80.87970448912222,-182.91717303419247,-38.32693034873261,-0.06092708227288597,-0.0067861667991373645
2026-08-17T01:35:00.499039,55.00413647555416,-80.62970612340324,-183.88309778347175,-38.33393647863989,-0.061228202268255434,-0.006937388854820803
2026-08-17T01:35:15.499039,51.800823975554174,-80.19087973451437,-184.74152961595863,-38.52405405701158,-0.06130931585541456,-0.0067243420681105445
2026-08-17T01:35:30.499039,48.59751147555417,-79.75205334562548,-185.64414796702542,-38.658449073763954,-0.061282705470671314,-0.006654953918006079
2026-08-17T01:35:45.499039,45.39419897555416,-79.31322695673659,-186.58461929917306,-38.733376122554034,-0.061181974007850685,-0.0067513828945288045
